intent,button,entities
greet,Γειά σου,
samples,Δώσε μου μερικά παραδείγματα ερωτήσεων,
info,Πληροφορίες για το chatbot,
HowAreYou,Τι κάνεις;,
goodbye,Αντίο!,
affirm,Ναι,
deny,Όχι,
bot_challenge,Είσαι ρομπότ;,
thanks,Ευχαριστώ,
Cost,Ποιό το κόστος έκδοσης διαβατηρίου;,
Place_Of_Submission,Που καταθέτω τα δικαιολογητικά;,
CriterionRequirement,Ποιές οι προυποθέσεις έκδοσης;,
About,Τι είναι διαβατήριο;,
Cases_of_passport_issue,Ποιές οι περιπτώσεις έκδοσης διαβατηρίου;,
Passport_issue_procedure,Ποιά η διαδικασία έκδοσης ;,
Duration_of_passport,Ποιά η διάρκεια ισχύος του διαβατηρίου;,
Emergency_passport_issuance,Είναι επείγον να βγάλω διαβατήριο,
Loss_theft_of_passport,Τι γίνεται σε περίπτωση κλοπής ή απώλειας διαβατηρίου;,
menu,Δώσε μου τις επιλογές πληροφόρησης,
passport_content,Τι στοιχεία περιλαμβάνει το διαβατήριο;,
passport_photo,Τι προδιαγραφές πρέπει να έχει η φωτογραφία;,
cancellation_of_passport,Πότε ακυρώνεται το διαβατήριο;,
poreia_aithshs,Μπορώ να ενημερωθώ για την πορεία της αίτησης μου;,
legal_resource,Ποιά η νομοθεσία για τα διαβατήρια;,
evidence,Τι δικαιολογητικά απαιτούνται για έκδοση διαβατηρίου;,
list_of_evidence,Δώσε μου λίστα των δικαιολογητικών,
eparavolo,Τι είναι το e-paravolo;,
Sunday_office,Ποιά γραφεία είναι ανοικτά την Κυριακή;,
cancel,Ακυρο,